,Request #,Status,Request Type,Subrequest Type,Additional Subrequest Type,Date / Time Opened,Date / Time Closed,Request Origin,System of Origin ID,Contact Type,Preferred Language,State Issue,Parent Request,Closed When Created,Address,City,Council District,ZIP,Latitude,Longitude,Mapped Location
171466,211463,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,07/08/2019 06:19:51 PM,07/08/2019 07:52:14 PM,Phone,,,,False,,False,3818 Moss Rose Dr,NASHVILLE,7.0,37216.0,36.2078783,-86.70105660000002,"(36.2078783, -86.70105660000002)"
173546,156661,In Progress,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,03/20/2019 03:53:42 AM,,hubNashville Community,,,,False,127478.0,False,4505 Georgia Ave,NASHVILLE,20.0,37209.0,36.1554539,-86.84173790000001,"(36.1554539, -86.8417379)"
174323,221431,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,07/27/2019 06:12:44 PM,11/26/2019 08:02:04 AM,hubNashville Community,,,,False,189901.0,False,11 N Hill St,NASHVILLE,17.0,37210.0,36.1450236,-86.76170639999998,"(36.1450236, -86.76170639999998)"
174817,95123,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,09/05/2018 03:58:14 PM,09/07/2018 06:20:27 PM,Phone,,Resident,,False,,False,,,,,,,
177014,324590,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,03/11/2020 02:29:35 PM,08/20/2020 07:21:30 AM,Phone,,,,False,,False,911 N 5th St,NASHVILLE,5.0,37207.0,36.187155700000005,-86.76271120000001,"(36.1871557, -86.7627112)"
178545,441011,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,08/09/2020 05:15:48 AM,10/14/2020 07:05:32 AM,hubNashville Community,,,,False,,False,1711 Sevier St,NASHVILLE,6.0,37206.0,36.166343,-86.7397122,"(36.166343, -86.7397122)"
178921,89854,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,08/13/2018 12:23:00 PM,08/13/2018 02:13:05 PM,Phone,,,,False,,False,,,,,,,
179694,227828,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,08/08/2019 01:27:45 AM,11/06/2019 05:06:37 PM,hubNashville Community,,,,False,,False,1009 N 16th St,,,,36.187294200000004,-86.73981950000002,"(36.1872942, -86.73981950000001)"
180168,405493,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,07/01/2020 08:33:58 PM,07/07/2020 03:08:54 PM,Phone,,,,False,,False,2002 10th Ave N,NASHVILLE,2.0,37208.0,36.18495,-86.80436,"(36.18495, -86.80436)"
180291,218765,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,07/23/2019 12:18:19 AM,07/24/2019 01:04:57 PM,hubNashville Community,,,,False,,False,1050 E Trinity Ln,NASHVILLE,5.0,37216.0,36.2038661,-86.74156819999996,"(36.2038661, -86.74156819999996)"
180337,226693,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,08/06/2019 07:33:54 PM,10/09/2019 07:08:29 AM,hubNashville Community,,,,False,,False,1016 B Wedgewood Ave,NASHVILLE,17.0,37203.0,36.13613,-86.78635,"(36.13613, -86.78635)"
180338,226907,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,08/07/2019 01:10:22 AM,09/18/2019 07:08:36 AM,Mobile App,,,,False,,False,1304B Montgomery Ave,NASHVILLE,5.0,37207.0,36.19422804116361,-86.75618939101696,"(36.194228041163605, -86.75618939101696)"
180362,150508,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,03/06/2019 02:25:34 AM,07/23/2019 07:14:32 AM,hubNashville Community,,,,False,,False,613 27th Ave N,,,,36.157565700000006,-86.816642,"(36.15756570000001, -86.816642)"
180363,470531,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,09/24/2020 10:03:06 PM,09/25/2020 02:13:29 PM,hubNashville Community,,,,False,,False,926 W Eastland Ave,NASHVILLE,5.0,37206.0,36.184914511616185,-86.75570230674592,"(36.18491451161619, -86.7557023067459)"
180450,121453,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,12/06/2018 03:44:32 AM,02/12/2019 08:01:49 AM,Mobile App,,,,False,,False,1211 Davidson St,NASHVILLE,6.0,37206.0,36.162743400000004,-86.74907309999998,"(36.1627434, -86.74907309999999)"
180552,230343,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,08/13/2019 01:56:18 AM,08/14/2019 03:06:55 PM,hubNashville Community,,,,False,,False,6528 Mercomatic Ct,NASHVILLE,20.0,37209.0,36.14420306159892,-86.87596279325408,"(36.144203061598915, -86.87596279325408)"
180562,230344,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,08/13/2019 02:03:31 AM,08/13/2019 12:47:06 PM,hubNashville Community,,,,False,,False,6528 Mercomatic Ct,NASHVILLE,20.0,37209.0,36.144138500000004,-86.87594669999999,"(36.1441385, -86.87594669999999)"
180635,230332,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,08/12/2019 11:55:32 PM,08/22/2019 07:15:12 AM,hubNashville Community,,,,False,,False,3818 Moss Rose Dr,NASHVILLE,7.0,37216.0,36.2078783,-86.70105660000002,"(36.2078783, -86.70105660000002)"
180641,232126,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,08/15/2019 03:39:59 PM,11/06/2019 05:08:15 PM,Phone,,,,False,,False,919 Virginia Ave,NASHVILLE,8.0,37216.0,36.222639799999996,-86.7308625,"(36.2226398, -86.7308625)"
180657,230972,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,08/13/2019 08:47:46 PM,08/14/2019 03:06:20 PM,Phone,,,,False,,False,1629 Chase St,NASHVILLE,7.0,37216.0,36.197983,-86.73393950000002,"(36.197983, -86.73393950000002)"
180671,231837,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,08/15/2019 12:24:50 AM,09/18/2019 07:08:55 AM,hubNashville Community,,,,False,,False,925A BENTON AVE,NASHVILLE,17.0,37204.0,36.13180444001996,-86.78485296105418,"(36.131804440019955, -86.78485296105418)"
180815,114219,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,11/04/2018 02:55:38 AM,02/05/2019 08:08:03 AM,hubNashville Community,,Resident,,False,99396.0,False,829 goff,NASHVILLE,2.0,37208.0,36.18572351580231,-86.80271010390571,"(36.18572351580231, -86.80271010390572)"
180862,108407,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,10/11/2018 01:31:43 PM,10/11/2018 06:18:21 PM,Email,,,,False,,False,,,,,,,
181036,405264,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,07/01/2020 06:04:09 PM,07/01/2020 07:21:17 PM,Phone,,,,False,,False,3826 Brighton Rd,NASHVILLE,24.0,37205.0,36.12705,-86.83329,"(36.12705, -86.83329)"
181138,109887,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,10/17/2018 03:12:34 AM,10/17/2018 04:48:56 PM,hubNashville Community,,Resident,,False,,False,16068,,,,,,
181144,110555,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,10/18/2018 08:50:50 PM,02/12/2019 08:08:10 AM,Phone,,,,False,,False,4184 Blueberry Hill Rd,NASHVILLE,1.0,37218.0,36.26078,-86.90562,"(36.26078, -86.90562)"
181180,114217,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,11/04/2018 02:31:37 AM,11/05/2018 02:50:15 PM,hubNashville Community,,Resident,,False,,False,831 Goff St,Nashville,,37208.0,,,
181277,298859,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,01/27/2020 09:44:35 PM,01/30/2020 01:55:22 PM,Phone,,,,False,,False,926 Kirkwood Ave,NASHVILLE,17.0,37204.0,36.120249,-86.7856011,"(36.120249, -86.7856011)"
181372,303098,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,02/04/2020 11:11:01 PM,02/05/2020 04:14:41 PM,hubNashville Community,,,,False,,False,1413D Monetta Ave,NASHVILLE,7.0,37216.0,36.20030766162275,-86.73153219325407,"(36.20030766162275, -86.73153219325407)"
181674,240521,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,08/30/2019 07:33:28 PM,09/03/2019 03:44:51 PM,hubNashville Community,,,,False,,False,124 30th Ave N,NASHVILLE,21.0,37203.0,36.145199700000006,-86.8150321,"(36.1451997, -86.8150321)"
181731,407754,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,07/05/2020 01:57:15 AM,07/08/2020 12:38:03 PM,hubNashville Community,,,,False,,False,2021 Beech Ave,NASHVILLE,17.0,37204.0,36.132166399999996,-86.78088919999998,"(36.1321664, -86.78088919999999)"
181837,407702,In Progress,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,07/04/2020 10:04:58 PM,,hubNashville Community,,,,False,,False,321 Pineway Dr,NASHVILLE,13.0,37217.0,36.114078000000006,-86.697999,"(36.114078, -86.697999)"
181861,407872,In Progress,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,07/05/2020 03:19:56 PM,,hubNashville Community,,,,False,,False,80 Peachtree St,NASHVILLE,16.0,37210.0,36.119969611588544,-86.73808675,"(36.11996961158855, -86.73808675)"
182034,409838,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,07/07/2020 03:51:21 PM,07/21/2020 07:03:37 AM,Mobile App,,Resident,,False,,False,563 Moore Ave,NASHVILLE,17.0,37203.0,36.13729300000001,-86.769364,"(36.13729300000001, -86.769364)"
182108,238666,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,08/27/2019 08:33:17 PM,08/28/2019 01:58:43 PM,hubNashville Community,,,,False,,False,800 Musket Trail,NASHVILLE,29.0,37217.0,36.08558616157401,-86.63811719325408,"(36.08558616157401, -86.63811719325406)"
182423,58080,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,04/03/2018 11:23:02 PM,07/13/2018 08:35:45 PM,hubNashville Community,,Resident,,False,,False,2715 Acklen,NASHVILLE,18.0,37212.0,36.136064218941705,-86.81092152271134,"(36.1360642189417, -86.81092152271133)"
182920,248513,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,09/18/2019 05:59:13 PM,10/02/2019 05:49:22 PM,hubNashville Community,,,,False,,False,2506 Solon Dr,NASHVILLE,7.0,37206.0,36.18922620000001,-86.71414729999998,"(36.1892262, -86.71414729999998)"
182924,248292,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,09/18/2019 01:48:51 PM,05/30/2020 07:03:09 AM,hubNashville Community,,,,False,,False,811 Fatherland St,NASHVILLE,6.0,37206.0,36.17271710000001,-86.75666860000003,"(36.17271710000001, -86.75666860000001)"
183224,362767,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,05/08/2020 04:30:03 PM,06/30/2020 07:15:47 AM,hubNashville Community,,,,False,,False,1412 Villa Pl,NASHVILLE,17.0,37212.0,36.1396778,-86.79231300000001,"(36.1396778, -86.792313)"
183340,418652,In Progress,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,07/16/2020 08:52:17 PM,,hubNashville Community,,,,False,,False,4014 E Fairview Dr,NASHVILLE,1.0,37218.0,36.21253476162797,-86.84728419325408,"(36.21253476162797, -86.8472841932541)"
183359,417623,In Progress,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,07/16/2020 12:05:18 AM,,hubNashville Community,,,,False,407702.0,False,321 Pineway Dr,NASHVILLE,13.0,37217.0,36.114078000000006,-86.697999,"(36.114078, -86.697999)"
183432,375574,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,05/24/2020 03:12:56 PM,05/27/2020 03:10:54 PM,hubNashville Community,,,,False,,False,808 Riverside Dr,NASHVILLE,6.0,37206.0,36.17990011161406,-86.72621390674591,"(36.17990011161406, -86.72621390674591)"
183466,359882,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,05/05/2020 08:41:49 PM,05/07/2020 11:42:10 AM,hubNashville Community,,,,False,,False,1111 Baptist World Center Dr,NASHVILLE,2.0,37207.0,36.19413,-86.77834,"(36.19413, -86.77834)"
183559,364412,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,05/11/2020 06:48:04 PM,05/11/2020 06:51:20 PM,hubNashville Community,,,,False,,False,622 Fatherland St,NASHVILLE,6.0,37206.0,36.170883482211906,-86.75943729546644,"(36.170883482211906, -86.75943729546644)"
183806,369790,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,05/16/2020 04:47:44 AM,05/18/2020 07:57:35 PM,Mobile App,,,,False,,False,1006 11th Ave N,NASHVILLE,19.0,37208.0,36.1702999,-86.79578529999998,"(36.1702999, -86.79578529999999)"
183819,84232,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,07/19/2018 04:34:57 PM,07/19/2018 06:23:55 PM,Phone,,Resident,,False,,False,,,,,,,
183963,374685,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,05/22/2020 02:33:13 PM,05/28/2020 07:19:56 AM,hubNashville Community,,,,False,,False,1705B 17th Ave N,NASHVILLE,21.0,37208.0,36.17680299999999,-86.8089483,"(36.17680299999999, -86.8089483)"
184102,252378,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,09/27/2019 05:22:40 AM,12/02/2019 09:39:04 PM,hubNashville Community,,,,False,,False,215 6th Ave N,NASHVILLE,19.0,37219.0,36.163000000000004,-86.78199999999998,"(36.163, -86.78199999999998)"
184106,253295,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,09/30/2019 04:23:34 PM,11/22/2019 08:08:18 AM,hubNashville Community,,,,False,,False,4744 Apollo Dr,ANTIOCH,28.0,37013.0,36.07039999999999,-86.66687320000001,"(36.07039999999999, -86.6668732)"
184396,255217,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,10/03/2019 11:19:46 PM,11/28/2019 08:11:57 AM,hubNashville Community,,,,False,,False,614A Shelby Ave,NASHVILLE,6.0,37206.0,36.16850720000001,-86.75893739999998,"(36.1685072, -86.75893739999998)"
184408,253790,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,10/01/2019 03:36:46 PM,11/28/2019 08:10:45 AM,hubNashville Community,,,,False,,False,1001 4th Ave N,NASHVILLE,19.0,37219.0,36.1737437,-86.78632729999998,"(36.1737437, -86.78632729999998)"
184483,259154,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,10/15/2019 11:56:52 AM,02/26/2020 08:04:14 AM,hubNashville Community,,,,False,,False,1308 Haysboro Ave,NASHVILLE,7.0,37216.0,36.2310273,-86.71702099999997,"(36.2310273, -86.71702099999999)"
184494,254881,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,10/03/2019 04:25:18 PM,01/16/2020 01:53:30 PM,hubNashville Community,,,,False,,False,808 45th Ave N,NASHVILLE,20.0,37209.0,36.157582299999994,-86.84091669999998,"(36.1575823, -86.84091669999998)"
184523,262552,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,10/22/2019 03:48:47 PM,11/28/2019 08:04:00 AM,Phone,,,,False,,False,3908 Moss Rose Dr,Nashville,,37216.0,36.2094652,-86.70220379999999,"(36.2094652, -86.7022038)"
184586,262578,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,10/22/2019 04:17:21 PM,10/23/2019 07:00:11 PM,Phone,,,,False,,False,Fleet Dr,HERMITAGE,14.0,37076.0,36.1713375,-86.6171038,"(36.1713375, -86.6171038)"
184618,273679,Assigned,Permits,Short Term Rental Permit,Short Term Rental Permit,11/20/2019 03:22:58 PM,,hubNashville Community,,,,False,,False,1004 Jackson St,NASHVILLE,19.0,37208.0,36.1706723,-86.79420370000004,"(36.1706723, -86.79420370000003)"
184659,267262,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,11/03/2019 08:48:58 PM,12/13/2019 10:28:20 PM,hubNashville Community,,,,False,,False,956 9th Ave S,NASHVILLE,17.0,37203.0,36.1453732,-86.7801839,"(36.1453732, -86.7801839)"
184737,313974,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,02/26/2020 05:29:15 PM,02/28/2020 08:12:26 AM,hubNashville Community,,,,False,,False,2237 Kline Ave,NASHVILLE,17.0,37211.0,36.1231896,-86.7541983,"(36.1231896, -86.7541983)"
184910,271150,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,11/13/2019 07:32:35 PM,07/25/2020 07:11:50 AM,hubNashville Community,,,,False,,False,702 S 16th St,NASHVILLE,6.0,37206.0,36.167738299999996,-86.7435036,"(36.1677383, -86.7435036)"
185204,419514,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,07/17/2020 06:26:20 PM,07/20/2020 08:41:26 PM,hubNashville Community,,,,False,,False,700 2nd Ave S,NASHVILLE,19.0,37210.0,36.1540588,-86.769025,"(36.1540588, -86.769025)"
185422,74397,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,06/11/2018 09:22:44 PM,06/14/2018 05:52:41 PM,hubNashville Community,,Resident,,False,,False,1065 2nd Ave S,NASHVILLE,17.0,37210.0,36.14779779074394,-86.76627811831293,"(36.147797790743944, -86.76627811831293)"
185453,273029,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,11/19/2019 05:46:36 AM,07/31/2020 07:13:40 AM,Mobile App,,,,False,260335.0,False,1300 Brick Church Pike,NASHVILLE,2.0,37207.0,36.19830709486755,-86.77723953500391,"(36.198307094867545, -86.7772395350039)"
185476,278875,Assigned,Permits,Short Term Rental Permit,Short Term Rental Permit,12/05/2019 06:55:21 PM,,hubNashville Community,,,,False,,False,1700 State St,NASHVILLE,21.0,37203.0,36.1567501,-86.79747379999998,"(36.1567501, -86.79747379999998)"
185637,375583,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,05/24/2020 04:08:53 PM,05/27/2020 06:38:14 PM,hubNashville Community,,,,False,,False,1441 Lebanon Pike,NASHVILLE,19.0,37210.0,36.150659499999996,-86.7232468,"(36.1506595, -86.7232468)"
185648,377782,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,05/27/2020 07:18:07 PM,05/27/2020 07:22:18 PM,Phone,,,,False,,False,524 Snyder Ave,NASHVILLE,20.0,37209.0,36.1539244,-86.8602482,"(36.1539244, -86.8602482)"
185687,377760,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,05/27/2020 06:59:28 PM,05/29/2020 07:20:50 AM,hubNashville Community,,,,False,,False,1731 16th Ave N,NASHVILLE,21.0,37208.0,36.1785402359844,-86.80879210085678,"(36.1785402359844, -86.80879210085678)"
185689,377755,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,05/27/2020 06:56:44 PM,05/29/2020 07:20:35 AM,hubNashville Community,,,,False,,False,1716 17th Ave N,NASHVILLE,21.0,37208.0,36.177694581525294,-86.80911234199604,"(36.177694581525294, -86.80911234199603)"
185736,375736,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,05/25/2020 04:49:20 PM,06/18/2020 07:37:58 AM,hubNashville Community,,,,False,,False,323 Cleveland St,NASHVILLE,5.0,37207.0,36.18704581161711,-86.76592829999996,"(36.18704581161711, -86.76592829999997)"
185750,377767,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,05/27/2020 07:03:41 PM,05/29/2020 07:20:01 AM,hubNashville Community,,,,False,,False,1739 16th Ave N,NASHVILLE,21.0,37208.0,36.17884499874509,-86.80884730317993,"(36.178844998745085, -86.80884730317993)"
186703,423729,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,07/23/2020 03:08:25 AM,09/02/2020 07:05:25 AM,hubNashville Community,,,,False,424119.0,False,1706 17th Ave N,NASHVILLE,21.0,37208.0,36.177257,-86.80842,"(36.177257, -86.80842)"
186753,439827,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,08/07/2020 12:09:40 PM,08/15/2020 07:07:35 AM,hubNashville Community,,,,False,433795.0,False,1005 9th Ave S,NASHVILLE,17.0,37203.0,36.14494469713494,-86.78084366216223,"(36.14494469713494, -86.78084366216224)"
187010,316552,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,03/02/2020 06:26:47 PM,03/20/2020 08:09:55 AM,hubNashville Community,,,,False,,False,1035 Chicamauga Ave,NASHVILLE,5.0,37206.0,36.185147,-86.749656,"(36.185147, -86.749656)"
187083,74308,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,06/11/2018 06:32:40 PM,06/13/2018 02:17:09 PM,hubNashville Community,,,,False,,False,542B Hamilton Ave,NASHVILLE,17.0,37203.0,36.138772458418735,-86.7679715687172,"(36.138772458418735, -86.7679715687172)"
187089,77430,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,06/22/2018 06:07:09 PM,10/05/2018 02:40:31 PM,hubNashville Community,,,,False,,False,908 15th Ave S,NASHVILLE,19.0,37212.0,36.14756819299309,-86.78989299845347,"(36.14756819299309, -86.78989299845347)"
187157,317713,Assigned,Permits,Short Term Rental Permit,Short Term Rental Permit,03/04/2020 04:47:58 PM,,Phone,,,,False,,False,707 26th Ave N,NASHVILLE,21.0,37208.0,36.1589849,-86.81520390000001,"(36.1589849, -86.8152039)"
187228,325853,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,03/13/2020 05:53:52 AM,03/17/2020 08:27:21 PM,hubNashville Community,,,,False,,False,523 Weakley Ave,NASHVILLE,5.0,37207.0,36.19742986162154,-86.78212954999998,"(36.19742986162155, -86.78212954999998)"
187232,325725,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,03/12/2020 09:05:40 PM,04/16/2020 07:10:35 AM,hubNashville Community,,,,False,,False,2634 Pennington Ave,NASHVILLE,7.0,37216.0,36.19773099999999,-86.730909,"(36.19773099999999, -86.730909)"
187254,326557,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,03/14/2020 03:57:16 PM,04/16/2020 07:10:54 AM,hubNashville Community,,,,False,,False,1213a Tremont Ave,NASHVILLE,19.0,37212.0,36.143758,-86.789225,"(36.143758, -86.789225)"
187256,326040,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,03/13/2020 03:39:28 PM,03/16/2020 12:47:11 PM,hubNashville Community,,,,False,,False,6217 Henry Ford Dr,NASHVILLE,20.0,37209.0,36.1515675,-86.87838559999999,"(36.1515675, -86.8783856)"
187416,379732,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,05/29/2020 04:57:48 PM,06/06/2020 07:19:36 AM,hubNashville Community,,,,False,,False,1625 16th Ave N,NASHVILLE,21.0,37208.0,36.176751823496616,-86.80698106964338,"(36.176751823496616, -86.80698106964338)"
187499,84285,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,07/19/2018 06:27:11 PM,07/20/2018 01:17:05 PM,Phone,,,,False,,False,,,,,,,
187513,86455,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,07/30/2018 12:49:16 PM,07/31/2018 08:02:27 PM,Phone,,,,False,,False,,,,,,,
187825,130031,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,01/10/2019 04:53:27 PM,01/12/2019 08:01:11 AM,hubNashville Community,,,,False,,False,1311 Woodland St,NASHVILLE,6.0,37206.0,36.17734300000001,-86.7460964,"(36.17734300000001, -86.7460964)"
191835,241177,In Progress,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,09/03/2019 04:42:31 PM,,hubNashville Community,,,,False,114205.0,False,903 B Virginia Ave,NASHVILLE,8.0,37216.0,36.222981442479075,-86.73224291708384,"(36.22298144247907, -86.73224291708385)"
192005,450375,In Progress,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,08/23/2020 08:57:50 AM,,hubNashville Community,,,,False,,False,419 Park Cir,NASHVILLE,24.0,37205.0,36.1415189,-86.82427489999998,"(36.1415189, -86.82427489999999)"
192116,475726,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,10/05/2020 04:52:23 PM,10/05/2020 05:32:26 PM,hubNashville Community,,,,False,,False,440 Scotts Creek Trail,HERMITAGE,12.0,37076.0,36.201686411623356,-86.59358939999998,"(36.201686411623356, -86.59358939999998)"
192849,127478,In Progress,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,01/03/2019 12:41:23 AM,,hubNashville Community,,,,False,,False,4505 Georgia Ave,NASHVILLE,20.0,37209.0,36.15548485236595,-86.84166351399982,"(36.15548485236595, -86.84166351399983)"
193045,73047,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,06/06/2018 07:53:33 PM,06/07/2018 08:33:50 PM,Phone,,Resident,,False,,False,,,,,,,
193182,431927,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,07/30/2020 01:41:15 AM,08/18/2020 07:08:23 AM,Mobile App,,,,False,,False,624 Neill Ave,NASHVILLE,5.0,37206.0,36.1820315,-86.7600628,"(36.1820315, -86.7600628)"
193386,451977,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,08/25/2020 06:37:19 PM,08/25/2020 06:39:55 PM,hubNashville Community,,,,False,,False,4908 Delaware Ave,NASHVILLE,20.0,37209.0,36.1545619,-86.84695440000002,"(36.1545619, -86.8469544)"
193686,456968,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,09/02/2020 05:08:47 PM,09/04/2020 11:38:33 AM,hubNashville Community,,,,False,,False,1101 S Douglas Ave,NASHVILLE,17.0,37204.0,36.130386,-86.78757999999998,"(36.130386, -86.78757999999999)"
194373,441499,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,08/10/2020 03:32:28 PM,08/10/2020 05:32:25 PM,hubNashville Community,,,,False,,False,210 Anne Dallas Dudley Blvd,NASHVILLE,19.0,37219.0,36.163000000000004,-86.78200000000001,"(36.163, -86.782)"
194712,312243,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,02/24/2020 01:23:35 PM,08/20/2020 07:20:13 AM,hubNashville Community,,,,False,,False,1801 Blair Blvd,NASHVILLE,18.0,37212.0,36.1295652,-86.79784659999999,"(36.1295652, -86.7978466)"
195465,421688,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,07/21/2020 12:27:53 AM,08/18/2020 07:06:10 AM,hubNashville Community,,,,False,,False,1001 9th Ave S,NASHVILLE,17.0,37203.0,36.14501381874019,-86.78084021134977,"(36.14501381874019, -86.78084021134978)"
195557,419692,In Progress,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,07/17/2020 08:16:31 PM,,hubNashville Community,,,,False,,False,3353 Percy Priest Dr,NASHVILLE,13.0,37214.0,36.15266580000001,-86.6319968,"(36.15266580000001, -86.6319968)"
195777,423596,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,07/22/2020 10:09:20 PM,08/18/2020 07:06:33 AM,hubNashville Community,,,,False,,False,1922 14th Ave N,NASHVILLE,21.0,37208.0,36.182927899999996,-86.808504,"(36.1829279, -86.808504)"
195834,455504,In Progress,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,08/31/2020 05:13:41 PM,,hubNashville Community,,,,False,455497.0,False,3813 Cantarutti Rd,JOELTON,1.0,37080.0,36.283170500000004,-86.87895639999998,"(36.2831705, -86.87895639999999)"
196305,68822,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,05/19/2018 01:38:54 AM,09/28/2018 07:00:16 AM,hubNashville Community,,Resident,,False,,False,1603 villa,,,37212.0,,,
